number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
2320	Аверченко А.Т.	NA	Рассказы	NA	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Стефановский П.П.	Развороты судьбы	Москва	2003	2003	1950	1950	Экибастуз, Степлаг	Актер	asfcd/auth/?t=page&num=9742
2407	Агапкин В.	Прощание славянки	NA	1912	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Автор мемуаров	Ронкин В.Е.	На смену декабрям приходят январи…: Воспоминания бывшего бригадмильца и подпольщика, а позже политзаключенного и диссидента	Москва	2003	2003	1966	1966	Псков, пересыльная тюрьма	Инженер-технолог	asfcd/auth/?t=page&num=2833
888	Агапкин В.	Прощание славянки	NA	1912	Пересказывают	песня	русский	пение в кругу равных и блатных	заключенный, блатной	заключенный, блатной	в тюремной камере	FALSE	Заключенные	Бородин Л.И.	Без выбора: Автобиографическое повествование	Москва	2003	2003	1968	1968	Мордовия, Дубравлаг	Писатель	asfcd/auth/?t=book&num=1777
402	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Заключенный	Мазнев М.Ф.	Отрывки из дневника Михаила Фёдоровича Махнева, который провёл на Колыме 3600 дней	Новосибирск	NA	NA	1937	1948	Колыма	Бухгалтер	asfcd/auth/?t=page&num=6087
1165	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Зубчанинов В.В.	Увиденное и пережитое	Москва	1995	1995	1941	1942	Воркутлаг, этап	Инженер	asfcd/auth/?t=book&num=470
2315	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на работах	FALSE	Заключенный	Санджиев Н.П.	Темная ночь Широклага	Элиста	1994	1994	1944	1944	Пермский край, Широклаг	NA	asfcd/auth/?t=page&num=12695
577	Агатов В.Г.	Темная ночь	Народная Песня	1943	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в лагерной больнице	FALSE	Заключенный	Любченко А.М.	Отслужил Норильску ровно полвека, а жена Валентина — сорок лет...	Москва	2006	2006	1946	1955	Норильск	Врач	asfcd/auth/?t=book&num=419
334	Агнивцев Н.Я.	Блистательный Санкт-Петербург	NA	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5048
335	Агнивцев Н.Я.	Букет от Эйлерса	Букет от Эллерса	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5048
336	Агнивцев Н.Я.	Коробка спичек	Коробка спичек Лапшина	1923	Пересказывают	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5017
1354	Адам О., Брест Дж.	Рио-Рита	NA	1932	Цитируют	песня	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1943	1943	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
